"Address","Content Type","Size (bytes)","IMG Inlinks","Indexability","Indexability Status","Dimensions"
"https://unfoldgrowth.com.br/_next/image?url=%2Ficone-c.png&w=64&q=75","image/png","694","93","Indexable","",""
"https://unfoldgrowth.com.br/_next/image?url=%2Ficone-c.png&w=128&q=75","image/png","944","93","Indexable","",""
"https://lnhvxmehdrecgqiovzdl.supabase.co/storage/v1/object/public/media/diagrama-motor-vs-funil.webp","image/webp","67518","1","Indexable","",""
"https://lnhvxmehdrecgqiovzdl.supabase.co/storage/v1/object/public/media/diagrama-seis-funcoes-growth.webp","image/webp","96748","1","Indexable","",""
"https://lnhvxmehdrecgqiovzdl.supabase.co/storage/v1/object/public/media/diagrama-funil-para-comite.webp","image/webp","74508","1","Indexable","",""
"https://lnhvxmehdrecgqiovzdl.supabase.co/storage/v1/object/public/media/diagrama-funil-pipeline-jornada.webp","image/webp","75400","1","Indexable","",""
"https://lnhvxmehdrecgqiovzdl.supabase.co/storage/v1/object/public/media/diagrama-46-54.webp","image/webp","79538","1","Indexable","",""
"https://lnhvxmehdrecgqiovzdl.supabase.co/storage/v1/object/public/media/diagrama-comprador-informado.webp","image/webp","75272","1","Indexable","",""
"https://lnhvxmehdrecgqiovzdl.supabase.co/storage/v1/object/public/media/diagrama-sdr-comite.webp","image/webp","81652","1","Indexable","",""
"https://eleicoes.unfoldgrowth.com.br/guia/unfold-icone.png","image/png","42802","12","Indexable","",""
"https://lnhvxmehdrecgqiovzdl.supabase.co/storage/v1/object/public/media/diagrama-estrutura-por-estagio.webp","image/webp","85796","1","Indexable","",""
"https://lnhvxmehdrecgqiovzdl.supabase.co/storage/v1/object/public/media/diagrama-pontos-entrada-categoria.webp","image/webp","89778","1","Indexable","",""
"https://lnhvxmehdrecgqiovzdl.supabase.co/storage/v1/object/public/media/diagrama-estrutura-pre-venda.webp","image/webp","81364","1","Indexable","",""
"https://lnhvxmehdrecgqiovzdl.supabase.co/storage/v1/object/public/media/diagrama-motor-certo-complexo.webp","image/webp","84990","1","Indexable","",""
