"Address","Content Type","Size (bytes)","IMG Inlinks","Indexability","Indexability Status","Dimensions"
"https://unfoldgrowth.com.br/_next/image?url=https%3A%2F%2Flnhvxmehdrecgqiovzdl.supabase.co%2Fstorage%2Fv1%2Fobject%2Fpublic%2Fmedia%2Fcapa-funil-de-vendas.webp&w=1920&q=75","image/webp","52188","3","Indexable","",""
"https://unfoldgrowth.com.br/_next/image?url=https%3A%2F%2Flnhvxmehdrecgqiovzdl.supabase.co%2Fstorage%2Fv1%2Fobject%2Fpublic%2Fmedia%2Fcapa-sdr.webp&w=1920&q=75","image/webp","58546","3","Indexable","",""
"https://unfoldgrowth.com.br/_next/image?url=https%3A%2F%2Flnhvxmehdrecgqiovzdl.supabase.co%2Fstorage%2Fv1%2Fobject%2Fpublic%2Fmedia%2Fcapa-funil-motor-vendas.webp&w=1920&q=75","image/webp","55388","3","Indexable","",""
"https://unfoldgrowth.com.br/_next/image?url=https%3A%2F%2Flnhvxmehdrecgqiovzdl.supabase.co%2Fstorage%2Fv1%2Fobject%2Fpublic%2Fmedia%2Fcapa-growth-marketing-1.webp&w=1920&q=75","image/webp","53040","3","Indexable","",""
"https://unfoldgrowth.com.br/_next/image?url=https%3A%2F%2Flnhvxmehdrecgqiovzdl.supabase.co%2Fstorage%2Fv1%2Fobject%2Fpublic%2Fmedia%2Fcapa-demanda-x-leads.webp&w=1920&q=75","image/webp","54526","3","Indexable","",""
"https://unfoldgrowth.com.br/_next/image?url=https%3A%2F%2Flnhvxmehdrecgqiovzdl.supabase.co%2Fstorage%2Fv1%2Fobject%2Fpublic%2Fmedia%2Fcapa-time-de-growth.webp&w=1920&q=75","image/webp","55072","3","Indexable","",""
"https://unfoldgrowth.com.br/_next/image?url=https%3A%2F%2Flnhvxmehdrecgqiovzdl.supabase.co%2Fstorage%2Fv1%2Fobject%2Fpublic%2Fmedia%2Fcapa-qualificacao-leads.webp&w=1920&q=75","image/webp","52752","2","Indexable","",""
"https://unfoldgrowth.com.br/_next/image?url=https%3A%2F%2Flnhvxmehdrecgqiovzdl.supabase.co%2Fstorage%2Fv1%2Fobject%2Fpublic%2Fmedia%2Fcapa-sales-enablement.webp&w=1920&q=75","image/webp","44024","2","Indexable","",""
"https://lnhvxmehdrecgqiovzdl.supabase.co/storage/v1/object/public/media/diagrama-motor-vs-funil.webp","image/webp","67518","1","Indexable","",""
"https://lnhvxmehdrecgqiovzdl.supabase.co/storage/v1/object/public/media/diagrama-seis-funcoes-growth.webp","image/webp","96748","1","Indexable","",""
"https://unfoldgrowth.com.br/_next/image?url=https%3A%2F%2Flnhvxmehdrecgqiovzdl.supabase.co%2Fstorage%2Fv1%2Fobject%2Fpublic%2Fmedia%2Fcapa-integracao-marketing-vendas.webp&w=1920&q=75","image/webp","41736","2","Indexable","",""
"https://unfoldgrowth.com.br/_next/image?url=https%3A%2F%2Flnhvxmehdrecgqiovzdl.supabase.co%2Fstorage%2Fv1%2Fobject%2Fpublic%2Fmedia%2Fcapa-agencia-vs-assessoria.webp&w=1920&q=75","image/webp","49808","2","Indexable","",""
"https://unfoldgrowth.com.br/_next/image?url=https%3A%2F%2Flnhvxmehdrecgqiovzdl.supabase.co%2Fstorage%2Fv1%2Fobject%2Fpublic%2Fmedia%2Fcapa-vendas-b2b%20(1).webp&w=1920&q=75","image/webp","47742","2","Indexable","",""
"https://lnhvxmehdrecgqiovzdl.supabase.co/storage/v1/object/public/media/diagrama-funil-para-comite.webp","image/webp","74508","1","Indexable","",""
"https://lnhvxmehdrecgqiovzdl.supabase.co/storage/v1/object/public/media/diagrama-funil-pipeline-jornada.webp","image/webp","75400","1","Indexable","",""
"https://unfoldgrowth.com.br/_next/image?url=https%3A%2F%2Flnhvxmehdrecgqiovzdl.supabase.co%2Fstorage%2Fv1%2Fobject%2Fpublic%2Fmedia%2Fcapa-ciclo-venda-imovel.webp&w=1920&q=75","image/webp","53672","2","Indexable","",""
"https://lnhvxmehdrecgqiovzdl.supabase.co/storage/v1/object/public/media/diagrama-46-54.webp","image/webp","79538","1","Indexable","",""
"https://unfoldgrowth.com.br/_next/image?url=https%3A%2F%2Flnhvxmehdrecgqiovzdl.supabase.co%2Fstorage%2Fv1%2Fobject%2Fpublic%2Fmedia%2Fcapa-estande-digital.webp&w=1920&q=75","image/webp","49818","2","Indexable","",""
"https://lnhvxmehdrecgqiovzdl.supabase.co/storage/v1/object/public/media/diagrama-comprador-informado.webp","image/webp","75272","1","Indexable","",""
"https://lnhvxmehdrecgqiovzdl.supabase.co/storage/v1/object/public/media/diagrama-sdr-comite.webp","image/webp","81652","1","Indexable","",""
"https://unfoldgrowth.com.br/_next/image?url=https%3A%2F%2Flnhvxmehdrecgqiovzdl.supabase.co%2Fstorage%2Fv1%2Fobject%2Fpublic%2Fmedia%2Fcapa-pipeline-de-vendas.webp&w=1920&q=75","image/webp","53610","2","Indexable","",""
"https://eleicoes.unfoldgrowth.com.br/guia/unfold-icone.png","image/png","42802","12","Indexable","",""
"https://lnhvxmehdrecgqiovzdl.supabase.co/storage/v1/object/public/media/diagrama-estrutura-por-estagio.webp","image/webp","85796","1","Indexable","",""
"https://lnhvxmehdrecgqiovzdl.supabase.co/storage/v1/object/public/media/diagrama-pontos-entrada-categoria.webp","image/webp","89778","1","Indexable","",""
"https://lnhvxmehdrecgqiovzdl.supabase.co/storage/v1/object/public/media/diagrama-estrutura-pre-venda.webp","image/webp","81364","1","Indexable","",""
"https://unfoldgrowth.com.br/_next/image?url=https%3A%2F%2Flnhvxmehdrecgqiovzdl.supabase.co%2Fstorage%2Fv1%2Fobject%2Fpublic%2Fmedia%2Fcapa-playbook-de-vendas.webp&w=1920&q=75","image/webp","58648","2","Indexable","",""
"https://lnhvxmehdrecgqiovzdl.supabase.co/storage/v1/object/public/media/diagrama-motor-certo-complexo.webp","image/webp","84990","1","Indexable","",""
"https://lnhvxmehdrecgqiovzdl.supabase.co/storage/v1/object/public/media/diagrama-papeis-pre-venda.webp","image/webp","68144","1","Indexable","",""
"https://unfoldgrowth.com.br/_next/image?url=https%3A%2F%2Flnhvxmehdrecgqiovzdl.supabase.co%2Fstorage%2Fv1%2Fobject%2Fpublic%2Fmedia%2Fcapa-funil-construcao.webp&w=1920&q=75","image/webp","48086","2","Indexable","",""
"https://unfoldgrowth.com.br/_next/image?url=https%3A%2F%2Flnhvxmehdrecgqiovzdl.supabase.co%2Fstorage%2Fv1%2Fobject%2Fpublic%2Fmedia%2Fcapa-quanto-investir-trafego.webp&w=1920&q=75","image/webp","51268","2","Indexable","",""
"https://lnhvxmehdrecgqiovzdl.supabase.co/storage/v1/object/public/media/diagrama-decisao-longe-de-voce.webp","image/webp","74010","1","Indexable","",""
"https://unfoldgrowth.com.br/_next/image?url=https%3A%2F%2Flnhvxmehdrecgqiovzdl.supabase.co%2Fstorage%2Fv1%2Fobject%2Fpublic%2Fmedia%2Fcapa-automacao-incorporadora.webp&w=1920&q=75","image/webp","48552","2","Indexable","",""
"https://lnhvxmehdrecgqiovzdl.supabase.co/storage/v1/object/public/media/diagrama-como-montar-funil.webp","image/webp","84206","1","Indexable","",""
"https://lnhvxmehdrecgqiovzdl.supabase.co/storage/v1/object/public/media/diagrama-quatro-motores.webp","image/webp","75524","1","Indexable","",""
"https://lnhvxmehdrecgqiovzdl.supabase.co/storage/v1/object/public/media/diagrama-plg-quebra-complexo.webp","image/webp","89640","1","Indexable","",""
"https://lnhvxmehdrecgqiovzdl.supabase.co/storage/v1/object/public/media/diagrama-por-que-funil-quebra.webp","image/webp","90678","1","Indexable","",""
"https://unfoldgrowth.com.br/_next/image?url=https%3A%2F%2Flnhvxmehdrecgqiovzdl.supabase.co%2Fstorage%2Fv1%2Fobject%2Fpublic%2Fmedia%2Fcapa-marketing-lancamento.webp&w=1920&q=75","image/webp","47988","2","Indexable","",""
"https://unfoldgrowth.com.br/_next/image?url=https%3A%2F%2Flnhvxmehdrecgqiovzdl.supabase.co%2Fstorage%2Fv1%2Fobject%2Fpublic%2Fmedia%2Fcapa-dashboard-comercial.webp&w=1920&q=75","image/webp","52806","2","Indexable","",""
"https://lnhvxmehdrecgqiovzdl.supabase.co/storage/v1/object/public/media/diagrama-demanda-vs-leads.webp","image/webp","75910","1","Indexable","",""
"https://unfoldgrowth.com.br/_next/image?url=https%3A%2F%2Flnhvxmehdrecgqiovzdl.supabase.co%2Fstorage%2Fv1%2Fobject%2Fpublic%2Fmedia%2Fcapa-processo-comercial.webp&w=1920&q=75","image/webp","51508","2","Indexable","",""
"https://unfoldgrowth.com.br/_next/image?url=https%3A%2F%2Flnhvxmehdrecgqiovzdl.supabase.co%2Fstorage%2Fv1%2Fobject%2Fpublic%2Fmedia%2Fcapa-permuta-vgv-funil.webp&w=1920&q=75","image/webp","49026","2","Indexable","",""
"https://unfoldgrowth.com.br/_next/image?url=https%3A%2F%2Flnhvxmehdrecgqiovzdl.supabase.co%2Fstorage%2Fv1%2Fobject%2Fpublic%2Fmedia%2Fcapa-cac-incorporadora.webp&w=1920&q=75","image/webp","47270","2","Indexable","",""
"https://unfoldgrowth.com.br/_next/image?url=https%3A%2F%2Flnhvxmehdrecgqiovzdl.supabase.co%2Fstorage%2Fv1%2Fobject%2Fpublic%2Fmedia%2Fcapa-ltv.webp&w=1920&q=75","image/webp","55638","2","Indexable","",""
"https://unfoldgrowth.com.br/_next/image?url=https%3A%2F%2Flnhvxmehdrecgqiovzdl.supabase.co%2Fstorage%2Fv1%2Fobject%2Fpublic%2Fmedia%2Fcapa-metricas-de-growth-1.webp&w=1920&q=75","image/webp","52552","2","Indexable","",""
"https://unfoldgrowth.com.br/_next/image?url=https%3A%2F%2Flnhvxmehdrecgqiovzdl.supabase.co%2Fstorage%2Fv1%2Fobject%2Fpublic%2Fmedia%2Fcapa-marketing-b2b.webp&w=1920&q=75","image/webp","49092","2","Indexable","",""
"https://unfoldgrowth.com.br/_next/image?url=https%3A%2F%2Flnhvxmehdrecgqiovzdl.supabase.co%2Fstorage%2Fv1%2Fobject%2Fpublic%2Fmedia%2Fcapa-crm-incorporadora.webp&w=1920&q=75","image/webp","44698","2","Indexable","",""
"https://unfoldgrowth.com.br/_next/image?url=https%3A%2F%2Flnhvxmehdrecgqiovzdl.supabase.co%2Fstorage%2Fv1%2Fobject%2Fpublic%2Fmedia%2Fcapa-funil-marketing-vendas.webp&w=1920&q=75","image/webp","48140","2","Indexable","",""
"https://lnhvxmehdrecgqiovzdl.supabase.co/storage/v1/object/public/media/diagrama-revops-silos.webp","image/webp","72662","1","Indexable","",""
"https://unfoldgrowth.com.br/_next/image?url=https%3A%2F%2Flnhvxmehdrecgqiovzdl.supabase.co%2Fstorage%2Fv1%2Fobject%2Fpublic%2Fmedia%2Fcapa-previsibilidade-comercial.webp&w=1920&q=75","image/webp","45000","2","Indexable","",""
"https://unfoldgrowth.com.br/_next/image?url=https%3A%2F%2Flnhvxmehdrecgqiovzdl.supabase.co%2Fstorage%2Fv1%2Fobject%2Fpublic%2Fmedia%2Fcapa-glossario-incorporadora.webp&w=1920&q=75","image/webp","52460","2","Indexable","",""
"https://lnhvxmehdrecgqiovzdl.supabase.co/storage/v1/object/public/media/diagrama-conta-1000-empresas.webp","image/webp","67324","1","Indexable","",""
"https://lnhvxmehdrecgqiovzdl.supabase.co/storage/v1/object/public/media/diagrama-95-5.webp","image/webp","71784","1","Indexable","",""
"https://lnhvxmehdrecgqiovzdl.supabase.co/storage/v1/object/public/media/diagrama-indicadores-por-camada.webp","image/webp","83670","1","Indexable","",""
"https://lnhvxmehdrecgqiovzdl.supabase.co/storage/v1/object/public/media/diagrama-ciclo-venda.webp","image/webp","60204","1","Indexable","",""
"https://lnhvxmehdrecgqiovzdl.supabase.co/storage/v1/object/public/media/diagrama-conexao-numeros.webp","image/webp","51644","1","Indexable","",""
"https://lnhvxmehdrecgqiovzdl.supabase.co/storage/v1/object/public/media/diagrama-tres-camadas-dashboard.webp","image/webp","71204","1","Indexable","",""
"https://lnhvxmehdrecgqiovzdl.supabase.co/storage/v1/object/public/media/diagrama-estruturar-processo-ordem.webp","image/webp","78746","1","Indexable","",""
